interation,networkLoad,Pb,simulationTime
0,350,0.002390,147.843000
1,350,0.002340,145.735000
2,350,0.002340,150.771000
3,350,0.002340,151.650000
4,350,0.002250,155.974000
5,350,0.002250,167.029000
6,350,0.002220,162.524000
7,350,0.002220,188.592000
8,350,0.002220,170.626000
9,350,0.002220,145.418000
10,350,0.002220,150.944000
11,350,0.002220,166.768000
12,350,0.002220,168.033000
13,350,0.002220,139.260000
14,350,0.002220,158.164000
15,350,0.002220,155.968000
16,350,0.002210,147.915000
17,350,0.002190,129.499000
18,350,0.002190,138.094000
19,350,0.002190,136.019000
20,350,0.002190,185.490000
21,350,0.002190,202.718000
22,350,0.002190,214.301000
23,350,0.002190,158.902000
24,350,0.002190,114.886000
25,350,0.002180,144.743000
26,350,0.002180,154.078000
27,350,0.002180,185.830000
28,350,0.002180,142.086000
29,350,0.002180,112.628000
30,350,0.002180,120.253000
31,350,0.002180,118.701000
32,350,0.002180,165.069000
33,350,0.002170,140.854000
34,350,0.002170,185.588000
35,350,0.002170,148.682000
36,350,0.002170,125.440000
37,350,0.002170,120.614000
38,350,0.002170,134.827000
39,350,0.002130,105.979000
40,350,0.002130,105.291000
41,350,0.002130,123.026000
42,350,0.002130,132.701000
43,350,0.002130,132.342000
44,350,0.002130,134.675000
45,350,0.002130,111.289000
46,350,0.002130,118.785000
47,350,0.002130,128.842000
48,350,0.002130,117.575000
49,350,0.002130,116.340000
